address_centr,LAT_LON_centr
"southern pines, NC, USA","(35.1740471, -79.3922539)"
"spokane valley, WA, USA","(47.6571104, -117.2613936)"
"los angeles, CA, USA","(34.0536909, -118.242766)"
"dallas, TX, USA","(32.7762719, -96.7968559)"
"philadelphia, PA, USA","(39.9527237, -75.1635262)"
"poinciana, FL, USA","(28.1743275, -81.49322346187505)"
"mason city, IA, USA","(43.1524574, -93.2017941)"
"houston, TX, USA","(29.7589382, -95.3676974)"
"flushing, NY, USA","(40.7654301, -73.8174291)"
"pembroke pines, FL, USA","(26.0061943, -80.2872086)"
"eugene, OR, USA","(44.0505054, -123.0950506)"
"fort lauderdale, FL, USA","(26.1223084, -80.1433786)"
"new york, NY, USA","(40.7127281, -74.0060152)"
"tomball, TX, USA","(30.0971621, -95.6160549)"
"palmdale, CA, USA","(34.5793131, -118.11711)"
"bend, OR, USA","(44.0581728, -121.3153096)"
"miami beach, FL, USA","(25.7929198, -80.1353006)"
"spring, TX, USA","(30.0795707, -95.4187924)"
"killeen, TX, USA","(31.1171441, -97.727796)"
"washington, DC, USA","(38.8950368, -77.0365427)"
"davie, FL, USA","(26.07441465, -80.28402569275804)"
"brooklyn, NY, USA","(40.6526006, -73.9497211)"
"tampa, FL, USA","(27.9477595, -82.458444)"
"pt saint lucie, FL, USA","(27.2939333, -80.3503283)"
"north miami beach, FL, USA","(25.9331488, -80.1625463)"
"jacksonville, FL, USA","(30.3321838, -81.655651)"
"charlotte, NC, USA","(35.2272086, -80.8430827)"
"fresno, CA, USA","(36.7394421, -119.78483)"
"miami, FL, USA","(25.7741728, -80.19362)"
"weston, FL, USA","(26.1003392, -80.399513)"
"las vegas, NV, USA","(36.1672559, -115.148516)"
"sylmar, CA, USA","(34.3076252, -118.4492148)"
"tyler, TX, USA","(30.7563939, -94.3984613)"
"fort worth, TX, USA","(32.753177, -97.3327459)"
"beechhurst, NY, USA","(40.7914903, -73.8045781)"
"portland, OR, USA","(45.5202471, -122.674194)"
